2.00 2.00
2.30 2.00
2.60 2.00
2.90 2.00
3.20 2.00
3.50 2.00
3.80 2.00
4.10 2.00
4.40 2.00
4.70 2.00
5.00 2.00
5.30 2.00
5.60 2.00
5.90 2.00
6.20 2.00
6.50 2.00
6.80 2.00
7.10 2.00
7.40 2.00
7.70 2.00
8.00 2.00
8.30 2.00
8.60 2.00
8.90 2.00
9.20 2.00
9.50 2.00
9.80 2.00
10.10 2.00
10.40 2.00
10.70 2.00
2.00 10.00
2.30 10.00
2.60 10.00
2.90 10.00
3.20 10.00
3.50 10.00
3.80 10.00
4.10 10.00
4.40 10.00
4.70 10.00
5.00 10.00
5.30 10.00
5.60 10.00
5.90 10.00
6.20 10.00
6.50 10.00
6.80 10.00
7.10 10.00
7.40 10.00
7.70 10.00
8.00 10.00
8.30 10.00
8.60 10.00
8.90 10.00
9.20 10.00
9.50 10.00
9.80 10.00
10.10 10.00
10.40 10.00
10.70 10.00
2.00 2.28
2.00 2.55
2.00 2.83
2.00 3.10
2.00 3.38
2.00 3.66
2.00 3.93
2.00 4.21
2.00 4.48
2.00 4.76
2.00 5.03
2.00 5.31
2.00 5.59
2.00 5.86
2.00 6.14
2.00 6.41
2.00 6.69
2.00 6.97
2.00 7.24
2.00 7.52
2.00 7.79
2.00 8.07
2.00 8.34
2.00 8.62
2.00 8.90
2.00 9.17
2.00 9.45
2.00 9.72
11.00 2.00
11.00 2.28
11.00 2.55
11.00 2.83
11.00 3.10
11.00 3.38
11.00 3.66
11.00 3.93
11.00 4.21
11.00 4.48
11.00 4.76
11.00 5.03
11.00 5.31
11.00 5.59
11.00 5.86
11.00 6.14
11.00 6.41
11.00 6.69
11.00 6.97
11.00 7.24
11.00 7.52
11.00 7.79
11.00 8.07
11.00 8.34
11.00 8.62
11.00 8.90
11.00 9.17
11.00 9.45
11.00 9.72
