40
2.00 0.00 2.00 0.00 10.00 1.00 0.00 3.00
2.90 0.00 2.00 0.00 10.00 1.00 0.00 3.00
3.80 0.00 2.00 0.00 10.00 1.00 0.00 3.00
4.70 0.00 2.00 0.00 10.00 1.00 0.00 3.00
5.60 0.00 2.00 0.00 10.00 1.00 0.00 3.00
6.50 0.00 2.00 0.00 10.00 1.00 0.00 3.00
7.40 0.00 2.00 0.00 10.00 1.00 0.00 3.00
8.30 0.00 2.00 0.00 10.00 1.00 0.00 3.00
9.20 0.00 2.00 0.00 10.00 1.00 0.00 3.00
10.10 0.00 2.00 0.00 10.00 1.00 0.00 3.00
2.00 0.00 10.00 0.00 10.00 1.00 0.00 3.00
2.90 0.00 10.00 0.00 10.00 1.00 0.00 3.00
3.80 0.00 10.00 0.00 10.00 1.00 0.00 3.00
4.70 0.00 10.00 0.00 10.00 1.00 0.00 3.00
5.60 0.00 10.00 0.00 10.00 1.00 0.00 3.00
6.50 0.00 10.00 0.00 10.00 1.00 0.00 3.00
7.40 0.00 10.00 0.00 10.00 1.00 0.00 3.00
8.30 0.00 10.00 0.00 10.00 1.00 0.00 3.00
9.20 0.00 10.00 0.00 10.00 1.00 0.00 3.00
10.10 0.00 10.00 0.00 10.00 1.00 0.00 3.00
2.00 0.00 2.80 0.00 10.00 1.00 0.00 3.00
2.00 0.00 3.60 0.00 10.00 1.00 0.00 3.00
2.00 0.00 4.40 0.00 10.00 1.00 0.00 3.00
2.00 0.00 5.20 0.00 10.00 1.00 0.00 3.00
2.00 0.00 6.00 0.00 10.00 1.00 0.00 3.00
2.00 0.00 6.80 0.00 10.00 1.00 0.00 3.00
2.00 0.00 7.60 0.00 10.00 1.00 0.00 3.00
2.00 0.00 8.40 0.00 10.00 1.00 0.00 3.00
2.00 0.00 9.20 0.00 10.00 1.00 0.00 3.00
11.00 0.00 2.00 0.00 10.00 1.00 0.00 3.00
11.00 0.00 2.80 0.00 10.00 1.00 0.00 3.00
11.00 0.00 3.60 0.00 10.00 1.00 0.00 3.00
11.00 0.00 4.40 0.00 10.00 1.00 0.00 3.00
11.00 0.00 5.20 0.00 10.00 1.00 0.00 3.00
11.00 0.00 6.00 0.00 10.00 1.00 0.00 3.00
11.00 0.00 6.80 0.00 10.00 1.00 0.00 3.00
11.00 0.00 7.60 0.00 10.00 1.00 0.00 3.00
11.00 0.00 8.40 0.00 10.00 1.00 0.00 3.00
11.00 0.00 9.20 0.00 10.00 1.00 0.00 3.00
11.00 0.00 10.00 0.00 10.00 1.00 0.00 3.00
